NOTE TO SELF: THE POPULARITY IS LISTED USING THE SAME ENUM AS THE RARITY BUT IS INVERTED IN MEANING, BECAUSE APPARENTLY I AM A PSYCHOPATH. SO THE ADEPT ESSENCE IS ONE OF THE MOST SOUGHT-AFTER (I.E. POPULAR) ESSENCES SO IT IS LISTED AS LEGENDARY

mysql> select name, rarity, popularity, description from essences where popularity is not null;
+------------+-----------+------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| name       | rarity    | popularity | description                                                                                                                                                                                                                                              |
| Lightning  | uncommon  | epic       | NULL                                                                                                                                                                                                                                                     |
| Lizard     | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Locust     | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Lurker     | uncommon  | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Magic      | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Malign     | epic      | epic       | NULL                                                                                                                                                                                                                                                     |
| Might      | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Mirror     | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Monkey     | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Moon       | rare      | rare       | NULL                                                                                                                                                                                                                                                     |
| Mouse      | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Myriad     | legendary | legendary  | NULL                                                                                                                                                                                                                                                     |
| Needle     | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Net        | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Octopus    | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Omen       | epic      | epic       | NULL                                                                                                                                                                                                                                                     |
| Owl        | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Pangolin   | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Paper      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Plant      | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Potent     | epic      | legendary  | NULL                                                                                                                                                                                                                                                     |
| Pure       | uncommon  | epic       | The Pure essence is most commonly seen amplifying the other two essences in a combination to push a power set further into the strengths that it is known for, though limiting their scope. This essence occurs naturally, or is granted by god, Purity. |
| Rabbit     | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Rake       | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Rat        | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Renewal    | epic      | legendary  | NULL                                                                                                                                                                                                                                                     |
| Resolute   | rare      | epic       | NULL                                                                                                                                                                                                                                                     |
| Rune       | epic      | epic       | NULL                                                                                                                                                                                                                                                     |
| Sand       | uncommon  | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Sceptre    | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Serene     | rare      | rare       | NULL                                                                                                                                                                                                                                                     |
| Shark      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Shield     | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Shimmer    | epic      | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Ship       | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Shovel     | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Sickle     | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Sin        | legendary | epic       | NULL                                                                                                                                                                                                                                                     |
| Skunk      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Sloth      | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Smoke      | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Snake      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Song       | uncommon  | rare       | NULL                                                                                                                                                                                                                                                     |
| Spear      | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Spider     | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Spike      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Staff      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Star       | rare      | epic       | NULL                                                                                                                                                                                                                                                     |
| Sun        | rare      | epic       | NULL                                                                                                                                                                                                                                                     |
| Swift      | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Sword      | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Technology | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Tentacle   | epic      | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Thread     | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Trap       | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Tree       | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Trowel     | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Turtle     | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Vast       | legendary | legendary  | NULL                                                                                                                                                                                                                                                     |
| Vehicle    | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Venom      | uncommon  | epic       | NULL                                                                                                                                                                                                                                                     |
| Visage     | legendary | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Void       | legendary | epic       | NULL                                                                                                                                                                                                                                                     |
| Wall       | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Wasp       | common    | common     | NULL                                                                                                                                                                                                                                                     |
| Water      | common    | legendary  | NULL                                                                                                                                                                                                                                                     |
| Whale      | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Wheel      | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Whip       | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Wind       | common    | epic       | NULL                                                                                                                                                                                                                                                     |
| Wing       | epic      | legendary  | NULL                                                                                                                                                                                                                                                     |
| Wolf       | common    | uncommon   | NULL                                                                                                                                                                                                                                                     |
| Wood       | common    | rare       | NULL                                                                                                                                                                                                                                                     |
| Zeal       | rare      | epic       | NULL                                                                                                                                                                                                                                                     |
+------------+-----------+------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
141 rows in set (0.00 sec)
